"id","market","strategy","status","outcome","execution_mode","quality_gate_status","quality_gate_reasons","entry_at","exit_at","side","entry","stop","target","net_pnl","r_multiple","risk","cost_r","fees","slippage","mfe_r","mae_r","exit_reason","quality_score","trend_score","regime"
"magi_15_htf_mtf_revisit_trade_management_v2:scout_touch_rejection:BTC-EUR:BTC-EUR:mtf:1h:support:405","BTC-EUR","scout_touch_rejection","closed_win","win","primary","passed","","2026-06-26T14:57:53.672Z","2026-06-26T15:27:54.485Z","long","52191","51874.29","52666.07","5.03","1.01","5","0.49","1.65","0.82","2","0","Take Profit","0.6288","0.7133","Unknown"
"magi_15_htf_mtf_revisit_trade_management_v2:range_bounce:BTC-EUR:BTC-EUR:mtf:1h:support:405","BTC-EUR","range_bounce","closed_win","win","shadow_correlated_duplicate","passed","","2026-06-26T14:57:53.672Z","2026-06-26T15:27:54.485Z","long","52191","51874.29","52666.07","5.03","1.01","5","0.49","1.65","0.82","2","0","Take Profit","0.6295","0.714","Range"
"magi_15_htf_mtf_revisit_trade_management_v2:scout_touch_rejection:BTC-EUR:BTC-EUR:mtf:1h:support:412","BTC-EUR","scout_touch_rejection","closed_win","win","primary","passed","","2026-06-26T14:57:53.672Z","2026-06-26T15:27:54.485Z","long","52191","51876.64","52662.55","5.01","1","5","0.5","1.66","0.83","2.01","0","Take Profit","0.6278","0.7133","Unknown"
"magi_15_htf_mtf_revisit_trade_management_v2:momentum_continuation:BTC-EUR:BTC-EUR:mtf:1h:support:412","BTC-EUR","momentum_continuation","closed_win","win","primary","passed","","2026-06-26T14:47:53.549Z","2026-06-26T15:27:54.485Z","long","52192","51876.64","52665.05","5.02","1","5","0.5","1.65","0.83","2","-0.19","Take Profit","0.6451","0.7723","Trending"
"magi_15_htf_mtf_revisit_trade_management_v2:range_bounce:BTC-EUR:BTC-EUR:mtf:1h:support:412","BTC-EUR","range_bounce","closed_win","win","shadow_correlated_duplicate","passed","","2026-06-26T14:57:53.672Z","2026-06-26T15:27:54.485Z","long","52191","51876.64","52662.55","5.01","1","5","0.5","1.66","0.83","2.01","0","Take Profit","0.6285","0.714","Range"
"magi_15_htf_mtf_revisit_trade_management_v2:scout_touch_rejection:BTC-EUR:BTC-EUR:mtf:1h:support:409","BTC-EUR","scout_touch_rejection","closed_win","win","primary","passed","","2026-06-26T14:57:53.672Z","2026-06-26T15:27:54.485Z","long","52191","51875.62","52664.08","5.02","1","5","0.5","1.65","0.83","2.01","0","Take Profit","0.6279","0.7133","Unknown"
"magi_15_htf_mtf_revisit_trade_management_v2:range_bounce:BTC-EUR:BTC-EUR:mtf:1h:support:409","BTC-EUR","range_bounce","closed_win","win","shadow_correlated_duplicate","passed","","2026-06-26T14:57:53.672Z","2026-06-26T15:27:54.485Z","long","52191","51875.62","52664.08","5.02","1","5","0.5","1.65","0.83","2.01","0","Take Profit","0.6287","0.714","Range"
"magi_15_htf_mtf_revisit_trade_management_v2:momentum_continuation:BTC-EUR:BTC-EUR:mtf:1h:support:432","BTC-EUR","momentum_continuation","closed_loss","break_even","primary","passed","","2026-06-26T15:07:53.852Z","2026-06-26T18:47:59.183Z","long","52375","51883.65","53112.02","-1.6","-0.32","5","0.32","1.07","0.53","1.19","-0.13","Break Even","0.6443","0.772","Trending"
"magi_15_htf_mtf_revisit_trade_management_v2:scout_touch_rejection:BTC-EUR:BTC-EUR:mtf:1h:support:434","BTC-EUR","scout_touch_rejection","closed_win","win","primary","passed","","2026-06-26T13:47:51.974Z","2026-06-26T13:57:52.349Z","long","52064","51884.06","52333.9","3.16","0.63","5","0.87","2.89","1.45","3.04","0","Take Profit","0.6276","0.7135","Unknown"
"magi_15_htf_mtf_revisit_trade_management_v2:range_bounce:BTC-EUR:BTC-EUR:mtf:1h:support:434","BTC-EUR","range_bounce","closed_win","win","shadow_correlated_duplicate","passed","","2026-06-26T13:47:51.974Z","2026-06-26T13:57:52.349Z","long","52064","51884.06","52333.9","3.16","0.63","5","0.87","2.89","1.45","3.04","0","Take Profit","0.6274","0.7109","Range"
